id,city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
111,City of Cleveland,,396815.0,USA,,,,,2016,This is our first year of calculation,,
112,Prefeitura de Sorocaba,44950031.0,644919.0,Brazil,,,,,2016,Other,,
113,City of Calgary,93000000000.0,1203915.0,Canada,,,,,2016,Decreased,,
114,City of Boulder,22354000000.0,104810.0,USA,,,,,2016,Other,,
115,City of Winnipeg,35000000000.0,718400.0,Canada,,,,,2016,Decreased,,
116,Cascais,,208122.0,Portugal,,,,,2016,Decreased,,
117,City of Sydney,110000000000.0,205339.0,Australia,,,,,2016,Decreased,,
118,"City of Arlington, VA",18871919000.0,216700.0,USA,,,,,2016,Decreased,,
119,City of San Francisco,89205219000.0,864816.0,USA,,,,,2016,Other,,
120,City of Eugene,,151190.0,USA,,,,,2016,Decreased,,
121,Auckland Council,81186000.0,1569900.0,New Zealand,,,,,2016,Increased,,
122,City of Hamilton,22228328.0,519949.0,Canada,,,,,2016,Decreased,,
123,Los Altos Hills,,8334.0,USA,,,,,2016,Decreased,,
124,City of St Louis,149900000000.0,319294.0,USA,,,,,2016,Decreased,,
125,Comune di Milano,,1350680.0,Italy,,,,,2016,,,
126,City of Yonkers,,199766.0,USA,,,,,2016,Decreased,,
127,City of Reykjavík,6248000000.0,122460.0,Iceland,,,,,2016,Increased,,
128,Government of Hong Kong Special Administrative Region,310000000000.0,7305700.0,Hong Kong,,,,,2016,Increased,,
129,Alcaldía Metropolitana de Caracas,54000000000.0,3518590.0,Venezuela,,,,,2016,Increased,,
130,Town of Blacksburg,,43985.0,USA,,,,,2016,Other,,
131,City of Lahti,6057000000.0,120432.0,Finland,,,,,2016,Decreased,,
132,City of Yokohama,104000000000.0,3719589.0,Japan,,,,,2016,Increased,,
133,City of Nagoya,11847100000000.0,2274511.0,Japan,,,,,2016,Decreased,,
134,City of Hiroshima,4874634000000.0,1191030.0,Japan,,,,,2016,,,
135,City of Adelaide,18360000000.0,23169.0,Australia,,,,,2016,Decreased,,
136,Bornova Municipality,,416007.0,Turkey,,,,,2016,This is our first year of calculation,,
137,City of Benicia,23000000.0,27450.0,USA,,,,,2016,Increased,,
138,City of Detroit,186000000000.0,688701.0,USA,,,,,2016,Stayed the same,,
139,City of Paris,153000000000.0,2265886.0,France,,,,,2016,Decreased,,
140,Suwon City,12443320800000.0,1221973.0,South Korea,,,,,2016,Increased,,
141,Taoyuan City Hall,529600000000.0,2114172.0,Taiwan,,,,,2016,Increased,,
142,City of Ærøskøbing,,6200.0,Denmark,,,,,2016,Decreased,,
143,"City of Lancaster, PA",,60000.0,USA,,,,,2016,This is our first year of calculation,,
144,City of Los Angeles,797697000000.0,3928864.0,USA,,,,,2016,Decreased,,
145,"City of Portland, OR",163692000000.0,619360.0,USA,,,,,2016,Decreased,,
146,City of Durban,2308000000.0,3555868.0,South Africa,,,,,2016,Increased,,
147,Estância Turística de Guaratinguetá,825170000.0,,Brazil,,,,,2016,This is our first year of calculation,,
148,City of New Orleans,80278000000.0,389617.0,USA,,,,,2016,This is our first year of calculation,,
149,Santiago de Cali,4540.0,2369829.0,Colombia,,,,,2016,,,
150,City of San Antonio,93198982910.0,1400000.0,USA,,,,,2016,,,
151,City of Savannah,15905000000.0,144355.0,USA,,,,,2016,This is our first year of calculation,,
152,"City of Piedmont, CA",360400000000.0,11082.0,USA,,,,,2016,Decreased,,
153,City of West Hollywood,,34399.0,USA,,,,,2016,This is our first year of calculation,,
154,City of Pittsburgh,135662.0,305704.0,USA,,,,,2016,Decreased,,
155,"City of Alton, IL",,26581.0,USA,,,,,2016,This is our first year of calculation,,
156,"City of Lake Forest, IL",,19375.0,USA,,,,,2016,This is our first year of calculation,,
157,City of Santa Monica,,92000.0,USA,,,,,2016,Decreased,,
158,City of Austin,,888204.0,USA,,,,,2016,Decreased,,
159,"City of Somerville, MA",,78900.0,USA,,,,,2016,This is our first year of calculation,,
160,City of Tucson,35717000.0,529845.0,USA,,,,,2016,Decreased,,
161,City of Okayama,2066421.0,705917.0,Japan,,,,,2016,,,
162,Batangas City,,332458.0,Philippines,,,,,2016,,,
163,Greater Amman Municipality,10697000000.0,3604459.0,Jordan,,,,,2016,This is our first year of calculation,,
164,"City of Brisbane, CA",,4603.0,USA,,,,,2016,Decreased,,
165,Santarém,,61752.0,Portugal,,,,,2016,,,
166,Torres Vedras Municipality,,79465.0,Portugal,,,,,2016,,,
167,Ayuntamiento de Madrid,125948386.0,3156572.0,Spain,,,,,2016,Decreased,,
168,Municipality of Hjørring,19088026316.0,65308.0,Denmark,,,,,2016,Decreased,,
169,Yilan County,,458777.0,Taiwan,,,,,2016,Stayed the same,,
170,Wellington City Council,18333000.0,203800.0,New Zealand,,,,,2016,Decreased,,
171,City of Hayward,,158985.0,USA,,,,,2016,Decreased,,
172,City of Salvador,4745.0,2902927.0,Brazil,,,,,2016,,,
173,City of Aspen and Pitkin County,566889555.0,8427.0,USA,,,,,2016,Decreased,,
174,City of Durham,,250815.0,USA,,,,,2016,Decreased,,
175,City of Windsor,12065940000.0,210891.0,Canada,,,,,2016,,,
176,Pingtung County Government,,840931.0,Taiwan,,,,,2016,Increased,,
177,"City of Hermosa Beach, CA",,19750.0,USA,,,,,2016,Decreased,,
178,Comune di Udine,,99528.0,Italy,,,,,2016,Stayed the same,,
179,Municipality of Porto Alegre,13798686254.0,1409351.0,Brazil,,,,,2016,,,
180,"City of Emeryville, CA",,10570.0,USA,,,,,2016,Decreased,,
181,City of Leicester,10420059749.0,333812.0,United Kingdom,,,,,2016,Decreased,,
182,Village of Kadiovacik,10000.0,216.0,Turkey,,,,,2016,Decreased,,
183,City of Athens,19951634580.0,664046.0,Greece,,,,,2016,This is our first year of calculation,,
184,Gladsaxe Kommune,35234000.0,66656.0,Denmark,,,,,2016,Decreased,,
185,City of Houston,517400000000.0,2195914.0,USA,,,,,2016,This is our first year of calculation,,
186,City of Lagos,1366000000000.0,21000000.0,Nigeria,,,,,2016,Other,,
187,City of Peterborough,,78698.0,Canada,,,,,2016,,,
188,Distrito Metropolitano de Quito,15100000000.0,2239191.0,Ecuador,,,,,2016,Decreased,,
189,"Nelson Mandela Bay ",52147.0,1152115.0,South Africa,12232310.0,,,,2017,Increased,,
190,"Denton, TX",,131044.0,USA,1604007.0,,,,2017,Decreased,,
191,Savannah,15905000000.0,145674.0,USA,3609546.0,,,,2017,This is our first year of calculation,,
192,Brownsville,8631000000.0,183887.0,USA,2165653.0,,,,2017,Other: Change in boundary,,
193,Salvador,4745.0,2902927.0,Brazil,3661647.0,,,,2017,,,
194,Houston,503300000000.0,2296224.0,USA,33428301.0,,,,2017,Stayed the same,,
195,"Amman ",11202000000.0,3705490.0,Jordan,7215407.0,,,,2017,This is our first year of calculation,,
196,Indianapolis,125000000000.0,853000.0,USA,2160365.0,,,,2017,This is our first year of calculation,,
197,Ho Chi Minh,,8244400.0,Vietnam,30012000.0,,,,2017,This is our first year of calculation,,
198,"Portland, ME",,66666.0,USA,1142797.0,,,,2017,,,
199,Chihuahua,2.0,841490.0,Mexico,14330261.0,,,,2017,This is our first year of calculation,,
200,Phoenix,197193000000.0,1537058.0,USA,15895005.0,,,,2017,This is our first year of calculation,,
201,Hobart,,50655.0,Australia,338925.0,,,,2017,Decreased,,
202,Addis Ababa,,3800000.0,Ethiopia,5043860.0,,,,2017,This is our first year of calculation,,
203,Reno,22043000000.0,236995.0,USA,2730235.35,,,,2017,This is our first year of calculation,,
204,Mexico City,2255223000000.0,8874724.0,Mexico,30870170.39,,,,2017,Increased,,
205,Niterói,19908.0,497883.0,Brazil,1729602.0,,,,2017,Other:,,
206,Santiago,71856593000000.0,6527903.0,Chile,28406420.0,,,,2017,Decreased,,
207,Tulua,,209086.0,Colombia,208681.0,,,,2017,,,
208,"Istanbul ",622762000000.0,14804116.0,Turkey,47862539.0,,,,2017,Increased,,
209,Santiago de Cali,4540.0,2369829.0,Colombia,4174608.0,,,,2017,,,
210,Pretoria - Tshwane,2739000000.0,3300000.0,South Africa,15236693.0,,,,2017,Increased,,
211,Cascais,,208122.0,Portugal,565382.0,,,,2017,Decreased,,
212,León de los Aldamas,218.0,1578626.0,Mexico,5012133.0,,,,2017,,,
213,"Easton, PA",1146500000.0,26915.0,USA,350900.0,,,,2017,This is our first year of calculation,,
214,Porto Velho,2363878.0,494013.0,Brazil,,,,,2017,,,
215,"Saint Paul, MN",21200000000.0,300353.0,USA,,,,,2017,This is our first year of calculation,,
216,Goiânia,30131330.0,1301892.0,Brazil,2016320.0,,,,2017,,,
217,Flagstaff,4903000000.0,68667.0,USA,1424563.0,,,,2017,Increased,,
218,"Nashville and Davidson ",106695000000.0,678889.0,USA,13461292.0,,,,2017,Increased,,
219,"Moscow ",,12330126.0,Russia,25680678.0,,,,2017,,,
220,Mérida,7111125.0,830732.0,Mexico,,,,,2017,,,
221,Stara Zagora,2244657.0,325963.0,Bulgaria,1104.0,,,,2017,,,
222,Tirana,,780531.0,Albania,610773.0,,,,2017,,,
223,Curitiba,79400000000.0,1751907.0,Brazil,4125853.0,,,,2017,Increased,,
224,Ibadan,16121000000.0,5591589.0,Nigeria,10000.0,,,,2017,,,
225,"St Catharines, ON",5562586779.0,131400.0,Canada,954541.0,,,,2017,This is our first year of calculation,,
226,San Antonio,93198982910.0,1469845.0,USA,16498864.0,,,,2017,This is our first year of calculation,,
227,"Abington ",,55310.0,USA,615224.0,,,,2017,Decreased,,
228,"Lancaster, PA",,60000.0,USA,364181.0,,,,2017,Other:,,
229,"Tempe, AZ",198000000000.0,175826.0,USA,3187650.72,,,,2017,This is our first year of calculation,,
230,Rio Grande,35124.0,79765.0,Argentina,810086.0,,,,2017,This is our first year of calculation,,
231,San Luis Potosí,183992.0,824229.0,Mexico,27548711.0,,,,2017,Increased,,
232,Hjørring,19088026316.0,65308.0,Denmark,417000.0,,,,2017,Decreased,,
233,Durban,3300000000.0,3700000.0,South Africa,22154154.0,,,,2017,Decreased,,
234,"Jakarta ",174824110.0,10155902.0,Indonesia,27780000.0,,,,2017,Decreased,,
235,Caracas,54000000000.0,3518590.0,Venezuela,17774776.0,,,,2017,Increased,,
236,Vitória,9421016.0,359555.0,Brazil,2798291.17,,,,2017,This is our first year of calculation,,
237,Betim,16409537.0,378089.0,Brazil,1763018.0,,,,2017,Increased,,
238,Faro,13231.0,61019.0,Portugal,246.0,,,,2017,Decreased,,
239,Santiago de Guayaquil,3187000000.0,2644891.0,Ecuador,6787374.0,,,,2017,This is our first year of calculation,,
240,Moroni,86740506.0,55541.0,Comoros,49285.0,,,,2017,This is our first year of calculation,,
241,Warsaw,226356000000.0,1629037.0,Poland,11721774.0,,,,2017,Decreased,,
242,"Columbia, MO",8025000000.0,119098.0,USA,3247578.0,,,,2017,Other:,,
243,Gibraltar,1637750000.0,33528.0,Gibraltar,263352.0,,,,2017,Decreased,,
244,Hvidovre,18709027233.0,52831.0,Denmark,219396.0,,,,2017,This is our first year of calculation,,
245,Yilan County,,458117.0,Taiwan,8691225.0,,,,2017,Stayed the same,,
246,Detroit,186000000000.0,688701.0,USA,10329322.0,,,,2017,Stayed the same,,
247,Ibagué,4.0,564077.0,Colombia,2330487.0,,,,2017,Increased,,
248,Torino,26933203382.0,892276.0,Italy,3496156.0,,,,2017,Decreased,,
249,"Miami Beach, FL",8475831683.0,91732.0,USA,1207364.0,,,,2017,This is our first year of calculation,,
250,Sorocaba,32600000000.0,652481.0,Brazil,1113971.0,,,,2017,Other: not rated yet,,
251,Córdoba,12302882987.0,1560900.0,Argentina,5099175.0,,,,2017,,,
252,Extrema,4676285000.0,33729.0,Brazil,131931.0,,,,2017,This is our first year of calculation,,
253,Amsterdam,64500000000.0,834713.0,Netherlands,4138000.0,,,,2017,Decreased,,
254,Aarhus,,,Denmark,,2030,100.0,2008,2017,,,
255,Abasan Al-Kabira,,,State of Palestine,6893.0,2020,6.0,2010,2017,,,Transport
256,Barcelona,,,Spain,,,,2008,2017,,,
257,Cuenca,,,Ecuador,60000.0,,,2017,2017,,,Waste
258,Sincelejo,,,Colombia,,,,,2017,,,
259,"Auckland ",,,New Zealand,8892000.0,2050,50.0,1990,2017,,,Total
260,Madrid,,,Spain,12953000.0,2030,40.0,1990,2017,,,Total
261,Murcia,,,Spain,2141277.0,2020,20.0,2007,2017,,,Total
262,Bærum,,,Norway,227359.0,2030,40.0,2009,2017,,,Total
263,"Bangkok ",,,Thailand,4550000.0,2020,,2013,2017,,,Waste
264,Barreiro,,,Portugal,347987.0,2020,20.0,2008,2017,,,Total
265,Basel-Stadt,,,Switzerland,,,,2001,2017,,,
266,Batangas,,,Philippines,,,,,2017,,,
267,"Bogor ",,,Indonesia,2193642.0,2030,33.0,2014,2017,,,Total
268,"Bogotá ",,,Colombia,16279278.0,2050,62.0,2008,2017,,,Total
269,"Bornova ",,,Turkey,,,,,2017,,,
270,Byron Shire,,,Australia,263199.0,2025,100.0,2015,2017,,,Total
271,Canberra,,,Australia,3196800.0,2050,100.0,1990,2017,,,Total
272,"Changwon ",,,South Korea,,,,,2017,,,Waste
273,Makati,,,Philippines,,2020,13.0,2011,2017,,,
274,Adelaide,,,Australia,1175630.0,2020,35.0,2007,2017,,,Total
275,Ærøskøbing,,,Denmark,,,10.0,2015,2017,,,
276,Akureyri,,,Iceland,,2030,40.0,1990,2017,,,
277,Alba-Iulia,,,Romania,1935.0,2020,38.0,2008,2017,,,Other: Public Lighting - energy regeneration
278,Albany,,,USA,,2030,10.0,2009,2017,,,
279,Ann Arbor,,,USA,1681926.0,2050,90.0,2000,2017,,,Total
280,"Arlington, VA",,,USA,13.0,,76.0,2007,2017,,,Other: Community-wide (everything)
281,Aspen and Pitkin County,,,USA,,2050,80.0,2004,2017,,,
282,Athens,,,Greece,5069040.0,2030,40.0,2014,2017,,,Total
283,Atlanta,,,USA,29000.0,2020,80.0,2009,2017,,,Waste
284,Austin,,,USA,14050168.0,2050,100.0,2010,2017,,,Total
285,Baltimore,,,USA,,2020,15.0,2010,2017,,,Total
286,"Bellingham, WA",,,USA,,2012,7.0,2000,2017,,,
287,Benicia,,,USA,,2020,10.0,2000,2017,,,
288,Boston,,,USA,7350268.0,2050,100.0,2005,2017,,,Total
289,Boulder,,,USA,1949796.0,2050,80.0,2005,2017,,,Total
290,Bournemouth,,,United Kingdom,6.0,,30.0,2005,2017,,,Other:
291,Brasília,,,Brazil,5648140.0,2020,40.0,2005,2017,,,Total
292,"Brisbane, CA",,,USA,,2020,15.0,2005,2017,,,Total
293,Buenos Aires,,,Argentina,12742478.0,2030,,2008,2017,,,
294,Burlington,,,USA,,2020,20.0,2007,2017,,,
295,Calgary,,,Canada,15793731.0,2050,80.0,2005,2017,,,Total
296,Cambridge,,,USA,1462236.0,2050,100.0,2012,2017,,,Total
297,Cape Town,,,South Africa,13399.0,2022,,2012,2017,,,Wastewater
298,Cardiff,,,United Kingdom,2667000.0,2020,26.0,2005,2017,,,Other:
299,Charlotte,,,USA,,2050,100.0,,2017,,,
300,"Charlottesville, VA",,,USA,,,,,2017,,,
301,Chicago,,,USA,32300000.0,2020,25.0,1990,2017,,,Total
302,Cincinnati,,,USA,9.3,2030,40.0,2006,2017,,,Total
303,Cleveland,,,USA,12519122.0,2050,80.0,2010,2017,,,Total
304,"Columbia, SC",,,USA,,2016,7.0,2006,2017,,,Total
305,Columbus,,,USA,240971.0,2020,20.0,2013,2017,,,Total
306,Copenhagen,,,Denmark,,2025,,,2017,,,Total
307,Hayward,,,USA,1183274.0,2020,20.0,2005,2017,,,Total
308,Cupertino,,,USA,307288.0,2050,83.0,2010,2017,,,Total
309,"Davis, CA",,,USA,,2050,100.0,2010,2017,,,
310,Delhi,,,India,,,,,2017,,,
311,Denver,,,USA,13250000.0,2050,80.0,2005,2017,,,Total
312,Edmonton,,,Canada,18.0,,25.0,2009,2017,,,Other:
313,"Emeryville, CA",,,USA,,2050,80.0,2004,2017,,,
314,Espoo,,,Finland,6.0,,60.0,1990,2017,,,Other:
315,Eugene,,,USA,1846983.0,2020,7.6,2010,2017,,,Total
316,"Fayetteville, AR",,,USA,1025453.0,2050,80.0,2010,2017,,,Total
317,Fort Collins,,,USA,2410518.0,2020,20.0,2005,2017,,,Total
318,Gdynia,,,Poland,,2020,20.0,1999,2017,,,Total
319,Greensboro,,,USA,5365412.0,2020,0.0,2007,2017,,,Total
320,Hamilton,,,Canada,23087326.0,2050,80.0,2006,2017,,,Total
321,Helsinki,,,Finland,,2020,20.0,1990,2017,,,Total
322,"Iowa ",,,USA,,2050,80.0,2005,2017,,,Total
323,Johannesburg,,,South Africa,,,,,2017,,,
324,Knoxville,,,USA,4507885.0,2020,20.0,2005,2017,,,Total
325,Kuala Lumpur,,,Malaysia,25427.0,2030,70.0,2010,2017,,,Total
326,"La Crosse, WI",,,USA,,,,,2017,,,
327,Lahti,,,Finland,,2020,35.0,1990,2017,,,Total
328,"Lake Forest, IL",,,USA,,2015,20.0,2007,2017,,,
329,Lakewood,,,USA,2646240.0,2050,50.0,2007,2017,,,Total
330,Lancaster,,,USA,885210.0,2050,80.0,2010,2017,,,Total
331,Lisbon,,,Portugal,2320013.0,2030,40.0,2002,2017,,,Other:
332,Ljubljana,,,Slovenia,2660000.0,2020,30.0,2008,2017,,,Total
333,"London, ON",,,Canada,3430000.0,2050,80.0,1990,2017,,,Total
334,Long Beach,,,USA,,2020,10.0,2007,2017,,,Transport
335,Los Angeles,,,USA,45.0,,55.0,2009,2017,,,Other: total Los Angeles economy
336,Mannheim,,,Germany,,2020,40.0,1990,2017,,,
337,Medford,,,USA,465879.0,2050,100.0,2015,2017,,,Total
338,Melbourne,,,Australia,4934000.0,2020,100.0,2008,2017,,,Total
339,Miami,,,USA,,2020,25.0,2006,2017,,,
340,Minneapolis,,,USA,5173279.0,2050,80.0,2006,2017,,,Total
341,New Orleans,,,USA,3606199.0,2030,50.0,2014,2017,,,Total
342,North Vancouver,,,Canada,207530.0,2050,50.0,2007,2017,,,Total
343,"Northampton, MA",,,USA,,2020,30.0,2000,2017,,,Total
344,Oakland,,,USA,2992735.0,2020,36.0,2005,2017,,,Total
345,Oslo,,,Norway,320000.0,2020,100.0,1990,2017,,,Buildings
346,Ottawa,,,Canada,5420000.0,2050,80.0,2012,2017,,,Total
347,Palo Alto,,,USA,765920.0,2030,80.0,1990,2017,,,Total
348,Parañaque,,,Philippines,,,,,2017,,,
349,Paris,,,France,6259429.0,2030,40.0,2004,2017,,,Buildings
350,"Park City, UT",,,USA,16698.0,2032,100.0,,2017,,,Total
351,Philadelphia,,,USA,21.1,2050,80.0,2006,2017,,,Total
352,"Piedmont, CA",,,USA,,2020,15.0,2005,2017,,,
353,Pittsburgh,,,USA,,2030,50.0,2003,2017,,,Transport
354,Podgorica,,,Montenegro,5.0,2020,20.0,2008,2017,,,Other: Public lighting
